lon,lat,anp_cate,anp_codi,anp_nomb,anp_suleg,anp_uicn,anp_balec,anp_felec
-76.21831,-13.04383,Bosque de Protección,BP01,Aledaño a la Bocatoma del Canal Nuevo Imperial,18.11,VI - Uso sostenible de recursos naturales,R.S. N° 0007-1980-AA/DGFF,327542400000
-78.71944,-8.59997,Bosque de Protección,BP02,Puquio Santa Rosa,72.5,VI - Uso sostenible de recursos naturales,R.S. N° 0434-1982-AG/DGFF,399772800000
-74.99318,-11.29214,Bosque de Protección,BP03,de Pui Pui,60000,VI - Uso sostenible de recursos naturales,R.S. N° 0042-1985-AG/DGFF,475977600000
-79.06034,-6.40611,Bosque de Protección,BP05,de Pagaibamba,2078.38,VI - Uso sostenible de recursos naturales,R.S. N° 0222-1987-AG/DGFF,551059200000
-77.5197,-5.84264,Bosque de Protección,BP06,Alto Mayo,182000,VI - Uso sostenible de recursos naturales,R.S. N° 0293-1987-AG/DGFF,553996800000
-78.45993,-7.41145,Coto de Caza,CC02,Sunchubamba,59735,VI - Uso sostenible de recursos naturales,R.M. N° 00462-1977-AG,230515200000
-74.90687,-0.69682,Reserva Comunal,RC09,Airo Pai,247887.59,VI - Uso sostenible de recursos naturales,D.S. N° 006-2012-MINAM,1351123200000
-74.88847,-0.37579,Reserva Comunal,RC10,Huimeki,141234.46,VI - Uso sostenible de recursos naturales,D.S. N° 006-2012-MINAM,1351123200000
-71.38111,-17.70644,Reserva Nacional,RN13.33,"Sistema de Islas, Islotes y Puntas Guaneras - Punta Coles",3365.14,VI - Uso sostenible de recursos naturales,D.S. N° 024-2009-MINAM,1262217600000
-78.77187,-6.16094,Parque Nacional,PN01,de Cutervo,2429.54,II - Protección de Ecosistemas y Recreación,LEY N° 13694,-262396800000
-78.79586,-6.24386,Parque Nacional,PN01,de Cutervo,5784.69,II - Protección de Ecosistemas y Recreación,LEY N° 13694,-262396800000
-76.00908,-9.36773,Parque Nacional,PN02,de Tingo María,4777,II - Protección de Ecosistemas y Recreación,LEY N° 15574,-146275200000
-71.65402,-12.15075,Parque Nacional,PN03,del Manu,1716295.22,II - Protección de Ecosistemas y Recreación,D.S. N° 644-1973-AG,107481600000
-78.68399,-9.02048,Reserva Nacional,RN13.08,"Sistema de Islas, Islotes y Puntas Guaneras - Isla Santa",6662.71,VI - Uso sostenible de recursos naturales,D.S. N° 024-2009-MINAM,1262217600000
-77.40318,-9.37142,Parque Nacional,PN04,Huascarán,340000,II - Protección de Ecosistemas y Recreación,D.S. N° 0622-1975-AG,173404800000
-77.23143,-7.69469,Parque Nacional,PN06,del Río Abiseo,274520,II - Protección de Ecosistemas y Recreación,D.S. N° 064-1983-AG,429408000000
-75.42579,-10.36409,Parque Nacional,PN07,Yanachaga-Chemillén,122000,II - Protección de Ecosistemas y Recreación,D.S. N° 068-1986-AG,525657600000
-69.3254,-13.27754,Parque Nacional,PN08,Bahuaja-Sonene,1091416,II - Protección de Ecosistemas y Recreación,D.S. N° 012-1996-AG,837561600000
-76.05176,-7.70793,Parque Nacional,PN09,Cordillera Azul,1353190.85,II - Protección de Ecosistemas y Recreación,D.S. N° 031-2001-AG,990403200000
-73.68209,-11.74309,Parque Nacional,PN10,Otishi,305973.05,II - Protección de Ecosistemas y Recreación,D.S. N° 003-2003-AG,1042502400000
-71.7704,-10.76029,Parque Nacional,PN11,Alto Purús,2510694.41,II - Protección de Ecosistemas y Recreación,D.S. N° 040-2004-AG,1100736000000
-78.16612,-3.39741,Parque Nacional,PN12,Ichigkat Muja-Cordillera del Cóndor,88477,II - Protección de Ecosistemas y Recreación,D.S. N° 023-2007-AG,1186617600000
-75.24287,-0.36465,Parque Nacional,PN13,Güeppí-Sekime,203628.51,II - Protección de Ecosistemas y Recreación,D.S. N° 006-2012-MINAM,1351123200000
-73.82641,-7.07794,Parque Nacional,PN14,Sierra del Divisor,1354485.1,II - Protección de Ecosistemas y Recreación,D.S. N° 014-2015-MINAM,1447027200000
