lon,lat,nombre
-76.56917,-11.15166,Santa Catalina
-69.80901,-15.6695,Siale
-71.88462,-13.47796,Matinga
-71.54789,-13.61691,Ccatcca Pampa
-75.70196,-11.38791,Ninatambo
-76.87203,-10.70104,Mallay
-73.00999,-13.62035,Llactabamba
-71.16801,-14.56346,Urinsaya Ccollana
-69.86133,-14.39889,Oruro
-77.48014,-5.5527,El Milagro
-70.20636,-14.62685,Ajanani Grande
-70.06949,-14.98956,Tiruyo
-72.00356,-13.7591,Rocco
-69.4087,-16.74556,Tuntipucara
-76.27672,-9.79767,Tambo de San José
-69.18063,-15.21822,Kantati Ururi
-78.81387,-6.32741,Chipuluc
-69.19079,-15.24,Lipichicarca
-75.27865,-12.70057,San Antonio
-70.04614,-15.58526,Collana Segunda
-71.1476,-14.27849,Patacalasaya
-76.34722,-9.72779,Santa Rosa de Sirabamba Alta
-76.15822,-12.75607,Santa Cruz
-73.21015,-4.30494,El Chino
-70.77748,-15.21833,Jose Luis de la Puente Uceda de Chivay
-70.33374,-15.79027,Canllacollo Jatunmayo
-70.4561,-15.56115,Coachico
-71.55973,-15.56373,Canocota
-76.25234,-12.06369,Sunisica
-77.10457,-8.85452,Canchabamba
-72.907,-15.329,Toro
-72.21214,-13.3064,Kacllaraccay
-79.874,-5.11864,Santa Catalina de Moza
-72.4034,-13.58674,Pantipata
-73.12457,-14.73839,Pallancata
-71.62495,-14.79218,Ccamanocca
-73.9783,-13.12899,Huaychao
-71.94257,-13.82354,Huarobamba
-73.1283,-13.39584,Incahuasi
-75.32522,-11.9443,Mito
-77.42963,-8.92587,Lucma Tayabamba
-70.34756,-15.54294,Corisuyo
-78.63234,-7.85705,Luis de la Puente Uceda
-77.56119,-7.82723,Andres Razuri
-77.0705,-9.29762,Acchas
-72.11329,-13.46086,Ayarmaca
-78.59255,-7.17033,Sexemayo Lote II
-75.83203,-12.99893,Tupac Amaru de Azangaro
-77.42777,-8.60495,Pauca
-76.57065,-11.18702,Santa Cruz
-72.17521,-13.46421,Haparquilla Occoruro
-77.75026,-6.08613,Chiliquin
-71.52259,-14.21491,Pongoña
-77.42568,-8.8824,La Libertad
-71.17331,-14.32639,Huiscachani
-71.27339,-14.34015,Totorani Hercca
-69.81751,-15.693,Miraflores Yapura
-71.3595,-13.61709,Tayancani
-71.61242,-13.5089,Piscohuata
-72.07981,-14.13405,Huayllayoc
-71.81619,-15.68946,Maca
-75.03972,-12.30661,San Pedro de Mullaca
-77.21307,-9.15786,Union Caninaco
-71.34282,-14.02474,Paccobamba
-72.14224,-13.46854,Anansaya Urinsaya Collana
-71.32324,-14.09692,Cullcuire Salloca
-71.41359,-14.23932,Layme
-81.01193,-4.20047,Mancora
-71.33266,-14.57785,Vilcamarca Hospital
-70.17754,-15.23724,Collana
-73.65907,-15.46796,Maraycasa Tambo Caylla
-74.14872,-13.60323,Matero
-70.00548,-13.90746,Anana
-71.87885,-13.45013,Huancalle
-75.23097,-13.51015,Marcas Pampapuquio
-76.77317,-11.43989,Marco
-73.81934,-13.61319,Parcco
-76.33191,-12.25718,Mariatana
-77.85497,-8.64369,Ranguas
-70.66976,-13.80201,Altiplano de Chia
-73.55596,-14.89021,Calpamayo
-74.00604,-13.09645,General Cordova de Socos
-76.32183,-9.80361,Santiago de Llacón
-71.43887,-14.43939,Consa
-71.57392,-13.75347,Ttio
-76.57227,-9.81068,Chavinillo
-70.55826,-15.43457,Pucarini
-73.92539,-13.68922,San Jose de Churia
-77.82569,-6.34954,San Isidro del Mayno
-74.54371,-12.56902,Pucaccasa
-70.32169,-14.53912,Nueva Esperanza de Bajo Chilluma
-71.43044,-13.67805,Llullucha
-70.14471,-15.23895,Accopunco
-73.33409,-13.5628,Puihualla Alta
-77.03464,-10.09174,Pomapata
-68.97095,-16.19892,Sihualaya
-76.95716,-9.69618,José Crespo y Castillo
-70.36134,-14.61714,Jila Inampo
-77.13539,-10.16072,Chiquian
-72.25721,-14.85512,Chucñihuaqui
-76.91582,-10.77909,Andajes
-71.84959,-14.54297,Ccollana
-69.55613,-16.03474,Alpacuyo Kolakollive
-79.84006,-4.61285,Marmas
-77.58159,-10.09254,Huacyon
-79.972,-4.83721,Masias
-74.91842,-12.41296,Uyque San Vicente y Anexos
-77.60658,-9.45508,Andres Avelino Caceres de Cuncashca
-79.72193,-5.14995,Yamango
-74.71999,-12.52371,Alianza Andino
-72.24319,-14.1737,Choaquere
-74.04499,-13.28535,Jesus Nazareno de Chontaca
-74.73394,-12.75345,Chopcca
-71.32383,-14.3805,Conde Viluyo
-79.88784,-4.76522,San Andres de Montegrande
-72.20596,-13.51039,Conchacalla y su Anexo Mantoclla
-75.16049,-12.88459,Cachimayo
-69.63378,-16.1485,Juventud Jichuccollo Antamarca
-76.28607,-10.06772,Ñausa
-74.7705,-12.24929,Quishuar
-76.58417,-10.7782,Lancari
-77.26691,-9.094,San Pedro de Canchabamba
-74.94792,-12.64285,La Florida
-77.5175,-7.9434,Jose de San Martin
-78.31262,-6.93514,Sorochuco
-76.51057,-9.80922,Ayapiteg
-71.33651,-14.56582,Vilcamarca Hospital
-71.42371,-13.54473,Hachacalla y su Anexo Ccolla
-77.07594,-10.33223,Mangas
-77.82979,-8.63454,Yanac
-79.62122,-4.70297,Olleria
-72.09177,-14.22049,Urubamba
-74.81427,-12.08689,La Victoria Manchay
-69.29248,-16.72227,Arconuma
-76.78749,-9.46202,Chuquibamba
-71.38736,-14.30047,Llallapara
-70.18672,-14.09048,Upina
-75.00023,-12.2664,Churampi
-69.70279,-15.66234,Sancayuni de Amantani
-69.7144,-15.65432,Lampayuni
-77.21067,-10.31822,Canis
-77.45581,-8.64144,Socosbamba
-77.23155,-9.09716,Union Caninaco
-79.37961,-5.37429,Huaricancha
-77.17506,-10.10455,Carcas
-77.03898,-10.2473,Pacllon
-71.04281,-16.69994,Huasacache
-77.89761,-8.47179,Aco
-74.26451,-12.78219,Virgen del Carmen de Chinchay
-77.1449,-10.23258,Cuspon
-75.24846,-11.97751,Hualhuas
-76.13602,-9.76216,Nuevo de Antapucro
-73.42263,-13.68228,Ccompicancha
-74.28125,-13.07229,La Florida
-71.23651,-14.20596,Livincaya
-71.37878,-14.78351,Huancane - Anta Ccollana
-74.51547,-12.59125,Cconccorpata
-76.26214,-10.08147,San Pedro de Cumbe
-79.18325,-6.88972,Niepos
-76.74922,-10.94926,Jucul
-76.68747,-9.31015,San Pedro de Pariarca
-77.17899,-9.38265,Yacya
-71.53226,-13.7413,Urinccoscco
-80.37336,-4.98988,Apostol Juan Bautista de Locuto / Tambo Grande
-77.11311,-10.73413,Lascamayo
-77.00231,-10.39998,Uramasa
-72.39167,-13.46119,Ayaviri Ninamachi
-69.92246,-15.50184,Santa Cruz de Capara
-71.65192,-13.41314,Mika
-76.77977,-11.11821,Carac
-75.05946,-12.72616,Pueblo Libre
-75.88764,-12.38966,Achin
-70.20778,-15.41481,Cochaquinray
-71.11575,-14.44068,Occobamba
-76.80942,-9.43221,San Juan de Viscas
-77.29577,-8.70189,San Jose
-72.30373,-13.4669,Circa Kcacya
-72.17016,-13.45303,Mosocllacta Ayllu Sanco
-72.22362,-13.40685,Urinsaya Collana
-77.82549,-8.9051,Alpamayo de Colcas
-76.31402,-11.99287,Concha
-76.90133,-9.88993,Santa Rosa de Yaruwilca
-77.26355,-8.26166,Señor de los Milagros
-77.03616,-10.87901,Conchao
-76.4784,-10.19594,San Antonio de Chucchuc
-69.66786,-16.18422,Lacaya
-71.55742,-13.98367,"Santa Rosa de Ihuina
"
-72.16161,-13.4311,Eqquecco Chacan
-72.12303,-13.38881,Ccollana - Cheqquerec
-73.71476,-13.42544,Jose Maria Arguedas
-75.40506,-12.04954,Cochangara
-71.04561,-16.37084,Santa Lucia de Salinas de Ubinas
-70.02969,-16.14229,Ñuñomarca
-71.94038,-13.89241,Ccoyabamba
-71.61944,-14.75224,Urinsaya
-69.99703,-14.4822,Carputa Collana
-71.55921,-14.02184,San Jose de Conchacalla
-78.65211,-7.2463,Santa Maria de Magdalena
-69.33401,-16.38123,Collini
-75.3445,-13.70395,Ayavi
-71.93062,-15.67967,Cabanaconde
-71.97198,-13.72847,Toctohuaylla
-69.07162,-16.53168,Cumi
-77.06571,-10.16778,Quero
-75.97017,-12.56961,Auco
-74.17197,-12.89184,Sulluhuaylla
-74.35059,-12.75266,Churcampa Pichcay
-75.5623,-11.82133,Pocutanja
-71.85073,-13.3879,Viacha
-71.34741,-14.15702,Ccocha Ccosccoparte
-76.03275,-12.50893,Aucampi
-75.10432,-12.14941,Raquina
-76.53321,-11.23732,Baños
-71.88229,-14.19956,Hacca
-75.37404,-12.66547,San José de Acobambilla
-76.33783,-10.09498,Cesar Vallejo de Rayancatac
-75.84925,-12.86714,Apuri
-75.7716,-12.52929,Aquicha
-76.27764,-10.19752,San Pablo de Acochincha
-74.57496,-12.53231,Huanchos
-74.22779,-13.30318,San Juan de Cochabamba II Alta
-72.90686,-13.78194,Seccebamba
-77.26772,-10.62755,Cahua
-74.52143,-12.59925,Santa Rosa de Huachuapampa
-71.66617,-13.66685,Secsencalla
-74.68889,-12.15202,Pueblo Libre
-71.31902,-14.54862,Cebaduyo Ccollana
-74.30008,-13.2333,Maucallacta
-75.92243,-12.33446,Carania
-75.93833,-12.60719,Casinta
-71.45866,-14.78799,Anansaya Ccollana
-71.14853,-14.43154,Llallahui
-74.82581,-12.61582,Nuevo Progreso de Huantaylla
-71.17361,-14.03735,Llutuyo
-79.63621,-4.5803,Aragoto
-70.19063,-13.80861,Qquete
-72.01783,-13.49714,Chinchaysuyo
-77.81621,-8.90353,Caranca
-80.01622,-4.88928,Castro Pozo de Geraldo
-75.25205,-12.05122,Pilcomayo
-71.34051,-13.94543,Pampachiri
-77.40318,-8.92696,Lucma Tayabamba
-72.35054,-14.15978,Huanacopampa
-69.59116,-15.1794,Quispilacaya
-70.99655,-13.90455,Phinaya
-76.30656,-10.23311,San Juan de Yanamachay
-71.2432,-14.50877,Huarcachape
-73.47387,-13.69557,Ccaccacha
-71.54619,-13.68376,Sonccomarca
-71.91447,-13.65438,"Incacona
"
-76.7239,-10.01031,Brillante del Nupe
-72.25988,-13.46629,San Nicolas de Bari
-76.96936,-10.0135,Chiuruco
-71.83769,-14.01022,Misanapata
-71.8595,-13.74943,"Incacona Ttantar Ccosco
"
-69.28002,-16.38274,Jiscuani
-72.11363,-13.28822,Yanacona
-71.42514,-14.64769,Sillota
-78.57884,-5.42111,Santa Rosa
-76.03436,-10.59869,Ticlacayan
-73.94488,-12.65986,Irquis
-78.88404,-5.29663,San Juan de Chirinos
-71.01676,-14.82797,Pallpata
-72.06625,-13.44464,Ccorimarca
-69.84875,-16.38064,Collpa
-74.41161,-12.72286,Cconocc
-71.34744,-13.32131,Marcachea
-70.20373,-15.47267,Huichay Jaran
-75.65453,-14.1479,Yauca de Cocharcas
-69.09105,-16.29504,Chinumani Copapujo
-74.46467,-12.78983,San Martin de Marcayllo
-73.13224,-13.64947,Santa Rosa de Sotccomayo
-71.92651,-13.27823,Accha - Baja
-69.0517,-16.22437,San Juan de Totora
-70.04937,-13.72851,Upina
-71.96171,-13.60147,Occopata
-70.04149,-17.43408,Ticaco
-74.45617,-13.3285,Anchac Huasi
-77.21005,-9.11287,Union Caninaco
-71.85194,-13.73299,Anansaya Nihuacalla Masca
-74.5822,-12.23293,Tablahuasi
-69.60078,-15.10045,Calahuyo
-71.42069,-14.12603,Uchu
-74.81476,-12.72014,Troya
-70.15409,-17.35423,Susapaya
-70.60535,-14.04008,Huaylluma Ninahuisa
-71.71102,-14.86565,Tahuapalcca
-77.49398,-8.9913,San Pedro de Chinguil
-75.45961,-12.82011,Tipicocha
-71.61195,-14.5993,Oqquebamba
-72.06638,-13.42773,Ccorimarca
-71.72785,-13.70753,Mancco
-77.9492,-9.12141,Chaclancayo
-76.6424,-11.81228,Chaclla
-77.40652,-9.71149,Los Andes de Recuay
-74.15046,-12.72153,Cercan
-71.13628,-14.152,Lahua Lahua
-70.67683,-13.21669,Huacyumbre
-77.651,-9.1691,Tumpa
-76.17857,-10.62003,La Candelaria
-69.81593,-15.18137,Antacahua
-71.6938,-13.49633,Huayllapata
-75.07364,-11.66649,Chupa
-71.93517,-13.56407,Huillcarpay
-76.65932,-11.29503,Chisque
-79.78546,-4.63394,Chonta
-69.84568,-16.05981,San Carlos
-77.14392,-10.36735,Nanis
-74.49679,-13.22698,Paccha
-77.39757,-9.67764,Cordillera Blanca
-77.32076,-9.19002,San Antonio de Macuash
-76.68367,-9.57656,Quivilla
