lon,lat,nombre,etnia,poblacion,familias,rio
-74.36226,-9.40022,Nuevo Nazareth,Shipibo-Conibo,420.0,150.0,Río Ucayali
-74.91975,-7.40367,Nuevo Sucre,Shipibo-Conibo,230.0,59.0,Quebrada Mashiria
-77.88339,-3.59137,Soledad,Huambisa (Wampis),0.0,0.0,Río Santiago
-78.08853,-4.63321,Ajachín,Aguaruna (Awajun),0.0,0.0,Río Marañón
-74.36944,-9.63662,Pijuayal,Asháninka,230.0,70.0,Quebrada Amaquiria
-75.57246,-3.69909,Santa Isabel de Copal,"Quechua, Pastaza (Kichwa)",134.0,34.0,Quebrada Shimbillo
-78.3825,-5.19543,Yupicusa,Aguaruna (Awajun),634.0,110.0,Río Marañón
-75.31065,-9.20175,Puerto Nuevo,Cacataibo,704.0,99.0,Río San Alejandro
-74.62352,-11.13527,San Jacinto de Shauriato,Asháninka,276.0,57.0,Río Teroriari
-71.09767,-10.08962,Colombiana,Cashinahua,34.0,9.0,Río Curanja
-73.84315,-4.58286,Gran Punta,Cocama-Cocamilla (Kukama-Kukamiria),220.0,43.0,Río Marañón
-76.67498,-6.23198,Chumbaquihui,"Quechua, Lamas (Kichwa)",320.0,73.0,Quebrada Chumbaquiwi
-75.15466,-10.85249,Unión Alto Sancachari,Amuesha (Yánesha),421.0,93.0,Río Sancachari
-75.14977,-10.29757,Shiringamazu,Amuesha (Yánesha),0.0,0.0,Río Palcazu
-74.2088,-9.37671,Curiaca,Shipibo-Conibo,720.0,82.0,Río Ucayali
-78.23314,-4.27414,Nuevo Mamayaque,Aguaruna (Awajun),44.0,10.0,Río Cenepa
-74.93881,-7.465,Libertador,Shipibo-Conibo,318.0,69.0,Quebrada Pacaya
-74.18285,-9.393,Pueblo Nuevo del Caco,Shipibo-Conibo,622.0,108.0,Río Caco
-78.2276,-5.15152,Wachapea,Aguaruna (Awajun),1102.0,197.0,Río Chiriaco
-74.93547,-10.87609,San Pedro Sotani,Asháninka,97.0,19.0,Quebrada Tahuankiriaro
-78.21887,-5.22232,Nayumpín,Aguaruna (Awajun),361.0,60.0,Río Chiriaco
-74.61267,-3.37891,Alvarenga Sector A,Iquito,41.0,7.0,Río Nanay
-73.76456,-4.59767,Peña Negra,Cocama-Cocamilla (Kukama-Kukamiria),140.0,25.0,Río Marañón
-74.43723,-4.44152,San Francisco de Choroyacu,Cocama-Cocamilla (Kukama-Kukamiria),0.0,0.0,Río Marañón
-74.64648,-11.29899,San José de Panama,Asháninka,129.0,27.0,Riachuelo Manitija
-73.4954,-4.42672,Payorote,Cocama-Cocamilla (Kukama-Kukamiria),407.0,87.0,Río Amazonas
-74.22629,-9.80907,Alto Aruya,Asháninka,214.0,40.0,Quebrada Aruya
-73.88477,-9.83136,Nueva Esperanza de Cumaria,Asháninka,125.0,25.0,Quebrada Cumaria
-74.42089,-9.01023,San José de Pacache,Shipibo-Conibo,370.0,42.0,Río Ucayali
-75.10941,-1.05337,San Juan de Miraflores,"Quechua, Napo (Kichwa)",125.0,22.0,Quebrada Yanayacu
-73.98737,-10.18332,Jatitza,Asháninka,172.0,28.0,Río Ucayali
-74.35993,-9.26652,Utucuro,Shipibo-Conibo,650.0,250.0,Cocha Utucuro
-75.19497,-10.94619,Marankiari Bajo,Amuesha (Yánesha),229.0,65.0,Río Perene
-74.12021,-9.5848,Nueva Jerusalén de Sheshea,Shipibo-Conibo,0.0,0.0,Quebrada Tabesha
-74.34929,-9.22292,Puerto Belén,Shipibo-Conibo,850.0,250.0,Riachuelo Belen
-78.11983,-4.40853,Achu,Aguaruna (Awajun),443.0,92.0,Río Huampami
-78.48401,-5.14917,Yampik,Aguaruna (Awajun),0.0,0.0,Quebrada Shaim
-78.54826,-5.24743,Shaim,Aguaruna (Awajun),167.0,29.0,Quebrada Shaim
-74.98139,-10.90449,Kivinaki,Asháninka,0.0,0.0,Río Kivinaki
-74.2007,-9.94846,Nuevo Paraíso,Ashéninka,630.0,98.0,Quebrada Shahuaya
-74.44561,-9.28566,Nuevo Perú,Shipibo-Conibo,0.0,0.0,Río Ucayali
-75.21552,-4.2679,02 de Mayo,Urarina,169.0,31.0,Río Chambira
-70.7978,-9.74398,San Francisco Pikiniki Bufeo,Cashinahua,207.0,55.0,Río Purus
-74.89079,-7.89617,El Porvenir,Shipibo-Conibo,250.0,35.0,Lago Porvenir
-78.40997,-4.42039,Kusu-Numpatkeim,Aguaruna (Awajun),569.0,96.0,Río Numpatkaim
-78.24298,-4.54869,Bashuin,Aguaruna (Awajun),104.0,20.0,Río Canga
-73.63797,-10.24214,Mencoriari,Ashéninka,400.0,95.0,Río Cohengua
-75.3098,-4.42183,Santa Cruz del Tagual,Urarina,68.0,15.0,Río Tigrillo
-74.44208,-9.40447,Dos de Mayo,Shipibo-Conibo,150.0,34.0,Quebrada Sharara
-78.40663,-4.78566,Wee,Aguaruna (Awajun),157.0,30.0,Quebrada Numpatkaim
-74.22228,-8.8603,Junín Pablo,Shipibo-Conibo,1200.0,150.0,Cocha Junín Pablo
-75.7036,-2.49989,San Juan,"Quechua, No Especificado",100.0,21.0,Río Tigre
-78.27627,-5.34897,Chayu Atunsamu,Aguaruna (Awajun),80.0,18.0,Quebrada Numpatkaim
-74.03996,-4.44799,Solterito,Cocama-Cocamilla (Kukama-Kukamiria),106.0,20.0,Río Marañón
-77.37669,-5.38806,Achu Anexo Cachiyacu,Aguaruna (Awajun),81.0,17.0,Río Potro
-74.9839,-10.83178,Inchatingari,Asháninka,176.0,35.0,Quebrada Inchatingari
-75.3606,-7.83745,San Luis de Charasmana,Shipibo-Conibo,853.0,220.0,Río Pisqui
-74.20432,-9.55978,Runuya,Shipibo-Conibo,376.0,40.0,Río Ucayali
-74.51298,-9.2401,Nueva Bellavista,Asháninka,70.0,14.0,Quebrada Huacashiria
-73.48541,-10.74,Taquila,Asháninka,0.0,0.0,Río Urubamba
-78.28018,-3.94644,Uchi Numpatkaim,Aguaruna (Awajun),48.0,10.0,Río Cenepa
-70.72261,-9.92598,Conta,Cashinahua,0.0,0.0,Río Purus
-69.2618,-12.55166,El Pilar,Shipibo-Conibo,122.0,34.0,Río Madre de Dios
-77.10994,-5.78058,Shimpiyacu,Aguaruna (Awajun),0.0,0.0,Río Huascayacu
-76.99889,-5.83593,Morroyacu,Aguaruna (Awajun),568.0,113.0,Río Huascayacu
-76.86335,-5.85785,Yarau,Aguaruna (Awajun),220.0,53.0,Quebrada Yarau
-74.34472,-9.53829,Amaquiria,Shipibo-Conibo,0.0,0.0,Quebrada Amaquiria
-74.67294,-11.30429,Umanavanti,Asháninka,74.0,15.0,Quebrada Chavitani
-75.02767,-10.8003,San Martin de Ubiriki,Asháninka,36.0,12.0,Río Ubiriki
-74.26422,-8.49867,Puerto Consuelo,Shipibo-Conibo,160.0,35.0,Río Ucayali
-71.80117,-3.72919,Remanso,Yagua,0.0,0.0,Río Marañón
-77.74657,-4.60484,Alto Pajakus,Aguaruna (Awajun),557.0,67.0,Quebrada Pupuntas
-74.28371,-8.67591,Nuevo Ceylan,Shipibo-Conibo,289.0,56.0,Río Ucayali
-76.02707,-6.66363,Mushuck Llacta de Chipaota,"Quechua, Lamas (Kichwa)",332.0,77.0,Río Huallaga
-75.14186,-7.26635,Nuevo San Francisco de Rompeo de Tipishca,Shipibo-Conibo,220.0,35.0,Lago Tipisha
