bloque,clave,valor,de,fuente
kpi,Pasivos ambientales de hidrocarburos inventariados,3266,,OEFA (PIFA)
kpi,"Pasivos con riesgo Alto o Muy alto (salud, población o ambiente)",175,3266,OEFA (PIFA)
kpi,Pasivos que incluyen suelos contaminados por efluente o derrame,1488,3266,OEFA (PIFA)
kpi,Locaciones con suelos empetrolados supervisadas en el Lote X,3233,,OEFA (PIFA)
kpi,Locaciones del Lote X con afectación confirmada,399,3233,OEFA (PIFA)
kpi,"Superficie afectada registrada en el Lote X (ha, en 365 locaciones)",39.2,,OEFA (PIFA)
kpi,Kilómetro final registrado del Oleoducto Norperuano,855.4,,Petroperú vía GISEM
pasivosPorDepartamento,Piura,3129,,OEFA (PIFA)
pasivosPorDepartamento,Tumbes,98,,OEFA (PIFA)
pasivosPorDepartamento,Loreto,15,,OEFA (PIFA)
pasivosPorDepartamento,Puno,10,,OEFA (PIFA)
pasivosPorDepartamento,Pasco,5,,OEFA (PIFA)
pasivosPorDepartamento,Ucayali,5,,OEFA (PIFA)
pasivosPorDepartamento,Amazonas,2,,OEFA (PIFA)
pasivosPorDepartamento,Madre de Dios,1,,OEFA (PIFA)
pasivosPorDepartamento,Ica,1,,OEFA (PIFA)
pasivosPorTipo,Pozo mal abandonado,1060,,OEFA (PIFA)
pasivosPorTipo,"Pozo mal abandonado, suelos contaminados con efluente o derrame",805,,OEFA (PIFA)
pasivosPorTipo,"Pozo mal abandonado, suelos contaminados con efluente o derrame, emisiones",407,,OEFA (PIFA)
pasivosPorTipo,"Pozo mal abandonado, emisiones",267,,OEFA (PIFA)
pasivosPorTipo,Suelos contaminados con efluente o derrame,119,,OEFA (PIFA)
pasivosPorTipo,"Pozo mal abandonado, suelos contaminados con efluente o derrame, restos o depósitos de residuos",106,,OEFA (PIFA)
pasivosPorTipo,"Pozo mal abandonado, restos o depósitos de residuos",61,,OEFA (PIFA)
pasivosPorTipo,"Pozo mal abandonado, que presenta emisiones gaseosas fugitivas y  suelo contaminado en el área circundante al mismo",46,,OEFA (PIFA)
pasivosPorLote,VII/VI,2070,,OEFA (PIFA)
pasivosPorLote,X,378,,OEFA (PIFA)
pasivosPorLote,I,249,,OEFA (PIFA)
pasivosPorLote,III,191,,OEFA (PIFA)
pasivosPorLote,IV,118,,OEFA (PIFA)
pasivosPorLote,XX (ex Lote XIV),89,,OEFA (PIFA)
pasivosPorLote,Z-2B,53,,OEFA (PIFA)
pasivosPorLote,IX,20,,OEFA (PIFA)
pasivosPorCuenca,Intercuenca 1391,2016,,OEFA (PIFA)
pasivosPorCuenca,Cuenca Pariñas,614,,OEFA (PIFA)
pasivosPorCuenca,Intercuenca 13931,413,,OEFA (PIFA)
pasivosPorCuenca,Intercuenca 13939,82,,OEFA (PIFA)
pasivosPorCuenca,Cuenca Chira,26,,OEFA (PIFA)
pasivosPorCuenca,Intercuenca 13935,14,,OEFA (PIFA)
pasivosPorCuenca,Intercuenca Ramis,6,,OEFA (PIFA)
pasivosPorCuenca,Intercuenca 49913,6,,OEFA (PIFA)
suelosPorEstatus,Sin afectación,1728,,OEFA (PIFA)
suelosPorEstatus,No supervisada,934,,OEFA (PIFA)
suelosPorEstatus,Con afectación,399,,OEFA (PIFA)
suelosPorEstatus,En ejecución,159,,OEFA (PIFA)
suelosPorEstatus,No concluyeron,8,,OEFA (PIFA)
suelosPorAdministrado,CNPC - Corporación Nacional de Petróleos de China S.A.,3227,,OEFA (PIFA)
suelosPorAdministrado,Lote X,1,,OEFA (PIFA)
