lon,lat,lote,empresa,ubicacion,contrato,tipo_contrato,fase
-74.92184,-7.29406,31-B,MAPLE GAS CORPORATION DEL PERU SRL,SELVA CENTRAL,EXPLOTACION,LICENCIA,Explotación
-74.8435,-7.46298,31-E,MAPLE GAS CORPORATION DEL PERU SRL,SELVA CENTRAL,EXPLOTACION,LICENCIA,Explotación
-75.43055,-1.41997,67,PERENCO PERU LIMITED,SELVA NORTE,EXPLOTACION,LICENCIA,Explotación
-75.41681,-1.82851,67,PERENCO PERU LIMITED,SELVA NORTE,EXPLOTACION,LICENCIA,Explotación
-75.73251,-3.16063,8,PLUSPETROL NORTE S.A.,SELVA NORTE,EXPLOTACION,LICENCIA,Explotación
-75.39413,-3.44207,8,PLUSPETROL NORTE S.A.,SELVA NORTE,EXPLOTACION,LICENCIA,Explotación
-75.04042,-3.87971,8,PLUSPETROL NORTE S.A.,SELVA NORTE,EXPLOTACION,LICENCIA,Explotación
-75.34283,-3.95533,8,PLUSPETROL NORTE S.A.,SELVA NORTE,EXPLOTACION,LICENCIA,Explotación
-74.95362,-4.9106,8,PLUSPETROL NORTE S.A,SELVA NORTE,EXPLOTACION,LICENCIA,Explotación
-75.23958,-8.4232,31-C,AGUAYTIA ENERGY DEL PERU SRL,SELVA CENTRAL,EXPLOTACION,LICENCIA,Explotación
-80.70667,-3.63237,Z-1,BPZ EXPLORACION & PRODUCCION SRL,ZOCALO,EXPLOTACION,LICENCIA,Explotación
-80.66538,-3.6823,XX,PETROLERA MONTERRICO S.A.,NOR-OESTE,EXPLOTACION,LICENCIA,Explotación
-80.63382,-3.69723,XX,PETROLERA MONTERRICO S.A.,NOR-OESTE,EXPLOTACION,LICENCIA,Explotación
-80.97005,-4.01938,XX,PETROLERA MONTERRICO S.A.,NOR-OESTE,EXPLOTACION,LICENCIA,Explotación
-80.59759,-6.40089,Z-6,SAVIA PERU S.A.,ZOCALO,EXPLOTACION,LICENCIA,Explotación
-80.77291,-5.55257,XIII,OLYMPIC PERU INC,NOR-OESTE,EXPLOTACION,LICENCIA,Explotación
-81.07699,-4.14241,V,GMP S.A.,NOR-OESTE,EXPLOTACION,SERVICIOS,Explotación
-81.15937,-4.25924,X,CNPC PERU S.A.,NOR-OESTE,EXPLOTACION,LICENCIA,Explotación
-81.06957,-4.35135,II,PETROLERA MONTERRICO S.A.,NOR-OESTE,EXPLOTACION,LICENCIA,Explotación
-81.10796,-4.40576,XV,PETROLERA MONTERRICO S.A.,NOR-OESTE,EXPLOTACION,LICENCIA,Explotación
-81.22637,-4.49494,VI,SAPET DEVELOPMENT PERU INC,NOR-OESTE,EXPLOTACION,LICENCIA,Explotación
-81.16999,-4.55025,IX,EMPRESA PETROLERA UNIPETRO ABC S.A.,NOR-OESTE,EXPLOTACION,LICENCIA,Explotación
-81.24776,-4.5945,I,GMP S.A.,NOR-OESTE,EXPLOTACION,SERVICIOS,Explotación
-81.23144,-4.67392,VII,SAPET DEVELOPMENT PERU INC,NOR-OESTE,EXPLOTACION,LICENCIA,Explotación
-81.31561,-4.83176,Z-6,SAVIA PERU S.A.,ZOCALO,EXPLOTACION,LICENCIA,Explotación
-81.02541,-4.94951,XIII,OLYMPIC PERU INC,NOR-OESTE,EXPLOTACION,LICENCIA,Explotación
-81.14669,-4.74286,III,GMP S.A.,NOR-OESTE,EXPLOTACION,LICENCIA,Explotación
-81.13807,-4.54439,IV,GMP S.A.,NOR-OESTE,EXPLOTACION,LICENCIA,Explotación
-75.92552,-2.48116,192,PACIFIC STRATUS ENERGY DEL PERU S.A.,SELVA NORTE,EXPLOTACION,SERVICIOS,Explotación
-77.06355,-3.39733,64,PETROPERU S.A.,SELVA NORTE,EXPLOTACION,LICENCIA,Explotación
-75.0213,-9.21087,131,CEPSA PERU S.A.,SELVA CENTRAL,EXPLOTACION,LICENCIA,Explotación
-74.70951,-8.83483,31-D,MAPLE GAS CORPORATION DEL PERU SRL,SELVA CENTRAL,EXPLOTACION,LICENCIA,Explotación
