lon,lat,descrip,idtipact,ubiref,estado
-77.15266,-9.79832,"Cancha de acopio de mineral aproximadamente 4 metros cúbicos de minerales, plataforma de 20 metros de largo x 6 metros de ancho",Minería por socavon,Ruta Allpacocha,Pasivo
-74.78547,-9.51236,Superficie de 5.479662 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro - El Sira,Pasivo
-74.79102,-9.53304,Superficie de 2.569447 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.78771,-9.53271,Superficie de 1.222237 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.78885,-9.53492,Superficie de 6.292596 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.79457,-9.53728,Superficie de 8.352259 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.79323,-9.53734,Superficie de xxxxxxx ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.79243,-9.53855,Superficie de 3.982307 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.79135,-9.53824,Superficie de 3.062941 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.79003,-9.53818,Superficie de 1.104937 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.79026,-9.54814,Superficie de 3.468669 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.79138,-9.54902,Superficie de 1.628168 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.78506,-9.55799,Superficie de 2.267625 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.78977,-9.53275,Superficie de 1.259374 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.79042,-9.53654,Superficie de 0.921991 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.78984,-9.54035,Superficie de 6.298114 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.79196,-9.54037,Superficie de 0.834269 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.79386,-9.54276,Superficie de 1.649303 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.78692,-9.55911,Superficie de 7.446725 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
