lon,lat,codigo,federacion,zona,tipo_impacto,fuente_impacto,antiguedad,lote,empresa,anio,detecto,descripcion,ubicacion,remediacion,responsable,estado_validacion
-76.30114,-2.39364,PRD20182,FEDIQUEP,Capahuari Sur,Derrame de crudo,Batería,Antiguo,Lote 1AB/192,Pluspetrol Norte,2000,2018-08-05,Contaminacion de pozo crudo en cocha y aguajal. Afecta caza y pesca. Ramar de Q..Rí,"Batería Capahuari Norte, comunidad Titiyacu",,Laura,1. Validado parcial
-76.576224,-2.829769,PRS20172,FEDIQUEP,Capahuari Sur,Árboles talados,oleoducto,Antiguo,Lote 1AB/192,Pluspetrol Norte,2000,2017-04-08,Tala de arboles para hacer oleoducto tobiria Ramar norte,oleoducto tobiria Ramar norte en comunidad Paniyacu,,Laura,1. Validado parcial
-76.51208,-2.653136,PRD20172,FEDIQUEP,Capahuari Sur,Derrame de crudo,Pozo,Nuevo,Lote 1AB/192,Pluspetrol Norte,2000,2017-09-12,"Tierra removida, tala arboles por petroleo escondido afecta cocha, colpa y aguajal cerca de Rama de capahuari yacu","Batería Capahuari Norte, comunidad Titiyacu",,Laura,1. Validado parcial
-76.510957,-2.6699406,PRD201409,FEDIQUEP,,Botadero,,,Lote 1AB/192,,2014,2014-04-28,"Hay barriles antiguos de metal, residuos plásticos y otros restos botados. El agua se ve contaminada con crudo en la superficie, visiblemente notable. Esta quebrada fluye hacia el río Capahuari.","Pozo 2, Batería Capahuari Norte.",,Cielo,1. Validado parcial
-76.509904,-2.6618385,PRD201406,FEDIQUEP,,otro,,,Lote 1AB/192,,2014,2014-03-31,Tubería de metal abandonada en el bosque.,"parte trasera de Batería Capahuari Norte, a 500 m de los pozos 10 y 12.",,Cielo,1. Validado parcial
-76.506368,-2.6604049,PJB201101,FEDIQUEP,,Derrame nuevo de petróleo,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2011,2011-06-22,Pasivo ambiental/ Sitio PAC,Batería Capahuari Norte.,,Ale,1. Validado parcial
-76.505394,-2.657883,PEH201824,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,Occidental Petroleum,2018,2018-03-23,Evidencia de crudo en el suelo de los tiempos de Oxy.,Titiyacu.,,Ana Paula,2. Validado final
-76.502992,-2.440332,PRD20181,FEDIQUEP,Capahuari Sur,Derrame de crudo,Botadero,Nuevo,Lote 1AB/192,Pluspetrol Norte,2000,17/01/2018,"Tierra removida y contaminacion y tala debido a plátaforma. Queman petroleo. Afecta cocha, colpa y aguajal","Batería Capahuari Norte, comunidad Titiyacu",,Claudia,2. Validado final
-76.501792,-2.6763641,PRD201410,FEDIQUEP,,Botadero,,,Lote 1AB/192,,2014,2014-05-13,Hay barriles de metal y plástico botados y pedazos de tubería y otros restos.,"Frente al pozo 6 y 8, Batería Capahuari norte.",,Cielo,1. Validado parcial
-76.500992,-2.676311,PEH201823,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2018,2018-03-23,Evidencia de crudo en el suelo.,Titiyacu.,,Ana Paula,2. Validado final
