lon,lat,punto,componentes,n_componentes,informe,evaluacion,registros
-76.436378,-2.801308,S0352-AS-001,Agua,1,INFORME N° 00023-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0352,63
-76.435749,-2.80177,S0352-AS-002,Agua,1,INFORME N° 00023-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0352,63
-76.43567,-2.803335,S0353-AS-001,Agua,1,INFORME N° 00034-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0353,64
-76.435616,-2.802675,S0353-AS-003,Agua,1,INFORME N° 00034-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0353,64
-76.435571,-2.803091,S0353-AS-002,Agua,1,INFORME N° 00034-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0353,64
-76.433448,-2.810202,S0348-AS-004,Agua,1,INFORME N° 00016-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0348,64
-76.433141,-2.809144,S0348-AS-001,Agua,1,INFORME N° 00016-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0348,64
-76.433096,-2.809515,S0348-AS-002,Agua,1,INFORME N° 00016-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0348,64
-76.432989,-2.809958,S0348-AS-003,Agua,1,INFORME N° 00016-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0348,64
-76.432927,-2.8107,S0348-AS-005,Agua,1,INFORME N° 00016-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0348,64
-76.432224,-2.809308,S0348-AS-006,Agua,1,INFORME N° 00016-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0348,64
-76.418424,-2.815493,S0350-AS-003,Agua,1,INFORME N° 00044-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0350,63
-76.417741,-2.815919,S0350-AS-002,Agua,1,INFORME N° 00044-2023-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0350,63
