lon,lat,nro,lote,tipo,anio,riesgo_salud,riesgo_poblacion,riesgo_ambiente,cuenca,region_hidrografica,departamento,provincia,distrito,oficio
-81.23874,-4.6218,748,VII/VI,Pozo mal abandonado,2014,Bajo,Bajo,Bajo,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,001-2015-OEFA/DE
-81.20046,-4.66596,809,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2016,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,276-2016-OEFA/DE
-81.12792,-4.66398,810,III,Pozo mal abandonado,2014,Bajo,Bajo,Bajo,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,081-2015-OEFA/DE
-81.20697,-4.63722,811,VII/VI,Pozo mal abandonado,2013,Bajo,Bajo,Bajo,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,221-2013-OEFA/DE
-81.20681,-4.65696,812,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2016,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,276-2016-OEFA/DE
-81.25406,-4.69838,869,VII/VI,Pozo mal abandonado,2016,Bajo,Bajo,Bajo,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,276-2016-OEFA/DE
-81.30861,-4.67092,870,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2013,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,081-2015-OEFA/DE
-81.27046,-4.45602,871,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame",2014,Medio,Medio,Medio,Intercuenca 13931,Región Hidrografica del Pacífico,Piura,Talara,Lobitos,001-2015-OEFA/DE
-81.25173,-4.68222,872,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame, emisiones",2016,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,276-2016-OEFA/DE
-81.2856,-4.63526,943,I,"Pozo mal abandonado, restos o depósitos de residuos",2014,Bajo,Bajo,Bajo,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,231-2014-OEFA/DE
-81.23218,-4.63335,944,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame, emisiones",2016,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,239-2016-OEFA/DE
-80.66036,-3.67073,945,XX (ex Lote XIV),"Pozo mal abandonado, el cual presenta emisiones gaseosas fugitivas",2013,Alto,Alto,Medio,Intercuenca 13939,Región Hidrografica del Pacífico,Tumbes,Contralmirante Villar,Zorritos,131-2014-OEFA/DE
-81.19865,-4.65754,946,VII/VI,"Pozo mal abandonado, emisiones",2016,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,239-2016-OEFA/DE
-81.11236,-4.21327,749,X,"Pozo mal abandonado, suelo contaminado en el área circundante al mismo e instalación mal abandonada vinculada a dicho pozo",2019,Medio,Medio,Medio,Intercuenca 13931,Región Hidrografica del Pacífico,Piura,Talara,Los Órganos,Oficio N° 317-2019-OEFA-DEAM
-81.29706,-4.66743,750,VII/VI,"Pozo mal abandonado, que presenta emisiones gaseosas fugitivas y  suelo contaminado en el área circundante al mismo",2016,Medio,Alto,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,Oficio circular N° 034-2016-OEFA/DE
-81.12754,-4.65707,751,III,"Pozo mal abandonado, suelos contaminados con efluente o derrame, restos o depósitos de residuos",2014,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,081-2015-OEFA/DE
-81.17685,-4.65114,752,VII/VI,"Pozo mal abandonado, emisiones",2014,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,001-2015-OEFA/DE
-81.24301,-4.60222,813,I,"Pozo mal abandonado, suelos contaminados con efluente o derrame, emisiones",2014,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,Pariñas,081-2015-OEFA/DE
-81.23191,-4.65197,814,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame, emisiones",2014,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,001-2015-OEFA/DE
-80.6614,-3.67513,815,XX (ex Lote XIV),Pozo mal abandonado,2013,Bajo,Bajo,Bajo,Intercuenca 13939,Región Hidrografica del Pacífico,Tumbes,Contralmirante Villar,Zorritos,130-2014-OEFA/DE
-81.19631,-4.65728,816,VII/VI,"Pozo mal abandonado, suelos contaminados con efluente o derrame, emisiones",2016,Medio,Medio,Medio,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,276-2016-OEFA/DE
-81.2676,-4.44202,873,VII/VI,Pozo mal abandonado,2014,Bajo,Bajo,Bajo,Intercuenca 13931,Región Hidrografica del Pacífico,Piura,Talara,Lobitos,001-2015-OEFA/DE
-81.25175,-4.69494,874,VII/VI,Pozo mal abandonado,2016,Bajo,Bajo,Bajo,Intercuenca 1391,Región Hidrografica del Pacífico,Piura,Talara,La Brea,276-2016-OEFA/DE
