lon,lat,NOMBDEP,COUNT,FIRST_IDDP,HECTARES
-77.98481,-5.21185,AMAZONAS,84,01,3930646.567
-77.66076,-9.49842,ANCASH,166,02,3596224.6
-73.01422,-14.06872,APURIMAC,80,03,2111415.17
-72.67171,-15.65798,AREQUIPA,109,04,6325588.935
-74.04966,-13.99525,AYACUCHO,111,05,4350381.783
-78.80614,-6.38778,CAJAMARCA,127,06,3304465.549
-77.13429,-11.937,CALLAO,6,07,14140.954
-72.07567,-13.37164,CUSCO,108,08,7207614.24
-75.00361,-13.08321,HUANCAVELICA,94,09,2206503.876
-75.96533,-9.32376,HUANUCO,76,10,3720052.603
-75.52649,-14.17745,ICA,43,11,2108076.66
-74.93616,-11.48891,JUNIN,123,12,4399729.222
-78.2532,-7.84596,LA LIBERTAD,83,13,2529596.876
-79.66546,-6.32207,LAMBAYEQUE,38,14,1434230.801
-76.73887,-11.56574,LIMA,171,15,3498999.431
-73.99548,-4.54637,LORETO,51,16,37511598.865
-70.97073,-11.81707,MADRE DE DIOS,11,17,8504586.569
-70.77662,-16.80022,MOQUEGUA,20,18,1580730.977
-75.40476,-10.45596,PASCO,28,19,2411394.892
-80.28225,-5.05118,PIURA,64,20,3606506.675
-68.87672,-16.3417,PUNO,109,21,6796281.696
-76.751,-6.99427,SAN MARTIN,77,22,5096125.898
-70.26107,-17.54745,TACNA,27,23,1608306.709
-80.52731,-3.86386,TUMBES,13,24,469026.014
-73.53965,-9.54951,UCAYALI,15,25,10534176.378
