lon,lat,numero,sitio,cuenca,area_ha,referencia,expediente,codigo_oefa,costo_total_soles
-76.441686,-2.786758,1.0,Sitio 22,Pastaza,1.55,Capahuari Sur / Cocha Piri-Piri,Expediente N.° 2971509,SO100,17244020.0
-76.413395,-2.784025,2.0,Ushpayacu,Pastaza,54.53,Capahuari Sur,Expediente N.° 2971509,SO101,73559730.25
-76.506007,-2.65894,3.0,Sitio 2,Pastaza,1.61,Capahuari Norte,Expediente N.° 2971509,SO102,6612284.0
-76.430667,-2.786419,4.0,Botadero Km. 7,Pastaza,1.97,Comunidad Nativa Nuevo Andoas,Expediente N.° 2971509,SO103,19291282.0
-76.448238,-2.775355,5.0,Botadero Km. 2,Pastaza,3.67,Caparahui Norte,Expediente N.° 2971509,SO104,19523487.0
-76.44243,-2.784894,6.0,Botadero CS-32,Pastaza,1.95,Caparahui Norte,Expediente N.° 2971509,SO105,6612284.0
-76.456348,-2.76593,7.0,Botadero Km. 4,Pastaza,2.4,Caparahui Norte,Expediente N.° 2971509,SO106,11256161.0
-76.226939,-2.622962,8.0,Sitio 1,Corrientes,,Huayuri,Expediente N.° 2961427,SO107,3062420.87
-76.226453,-2.594887,9.0,Sitio 2,Corrientes,,Huayuri,Expediente N.° 2961427,SO108,19876501.0
-76.227087,-2.617209,10.0,Sitio 3,Corrientes,,Huayuri,Expediente N.° 2961427,SO109,2184858.0
-76.151575,-2.640039,11.0,Sitio 5,Corrientes,,Huayuri,Expediente N.° 2961427,SO110,1144246.0
-76.139164,-2.499133,12.0,Sitio 16,Corrientes,,Shiviyacu,Expediente N.° 2961427,SO111,1489367.0
-76.137899,-2.492622,13.0,Sitio 35,Corrientes,,Shiviyacu,Expediente N.° 2961427,SO112,105642069.0
-76.212201,-2.744334,14.0,Sitio 13,Corrientes,,Dorisa,Expediente N.° 2961427,SO113,11593546.0
-76.197407,-2.747271,15.0,Sitio 14,Corrientes,,Dorisa,Expediente N.° 2961427,SO114,65513741.0
-76.204583,-2.753885,16.0,Sitio 11,Corrientes,,Dorisa,Expediente N.° 2961427,SO115,131580600.0
-76.193473,-2.771217,17.0,Sitio 12,Corrientes,,Dorisa,Expediente N.° 2961427,SO116,2244833.0
-76.037665,-2.721985,18.0,Sitio 17,Corrientes,,Jibarito,Expediente N.° 2961427,SO117,1286708.0
-76.12911,-2.53128,19.0,Botadero Comunidad Olaya,Corrientes,,Cercano a la Comunidad José Olaya - Shiviyacu,Expediente N.° 2961427,SO118,
-76.029673,-2.718156,20.0,Botadero Jibarito,Corrientes,,Cercano a Bahía de Jibaro,Expediente N.° 2961427,SO119,1000990.67
-75.859042,-2.329796,21.0,Sitio 15,Tigre,1.83,San Jacinto/Pozo San Jacinto,Expediente N.° 2970011,SO120,17679768.0
-75.859878,-2.328457,22.0,Sitio 16,Tigre,0.55,San Jacinto/Pozo San Jacinto,Expediente N.° 2970011,SO121,12640422.0
-75.860855,-2.323843,23.0,Sitio 17,Tigre,0.9,San Jacinto/Pozo San Jacinto,Expediente N.° 2970011,SO122,14006942.57
-75.858292,-2.322759,24.0,Sitio 18,Tigre,1.11,San Jacinto/Pozo San Jacinto,Expediente N.° 2970011,SO123,14042470.0
-75.88955,-2.261579,25.0,Sitio 8,Tigre,0.2,San Jacinto/Pozo San Jacinto,Expediente N.° 2970011,SO124,5376618.0
-75.852245,-2.361552,26.0,"Sitio 1, 3, 5 y 6",Tigre,0.53,San Jacinto/Pozo San Jacinto,Expediente N.° 2970011,"SO125, SO127 y SO128",27414193.04
-75.85131,-2.362231,27.0,Sitio 2,Tigre,0.2,San Jacinto/Pozo San Jacinto,Expediente N.° 2970011,SO126,12371241.0
-75.776821,-2.478593,29.0,Sitio 27,Tigre,9.41,San José de Marsella,Expediente N.° 2970011,SO129,31711698.0
-75.869601,-2.301819,30.0,Botadero 12 de Octubre,Tigre,2.39,Cerca a la Comunidad 12 de Octubre,Expediente N.° 2970011,SO130,19935369.0
-75.636413,-2.468319,31.0,Botadero San Juan de Barta,Tigre,0.3,Comunidad Nativa San Juan de Bartra,Expediente N.° 2970011,SO131,13023537.0
