lon,lat,nombre,tipo,etnia,familia_ling,federacion,zona
-78.15324,-4.65676,Cayamas,Principal,Aguaruna (Awajun),Jíbaro,CAH,Marañón
-78.14516,-4.6356,Wawaim,Principal,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.22576,-4.65436,Suwants,Principal,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.22462,-4.64715,Mamayakim,Principal,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.21574,-4.64153,Saasa,Anexo,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.20124,-4.60612,Mamayaque,Principal,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.20428,-4.59668,Shapijim,Principal,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.31958,-4.62755,Shacham Entsa,Principal,Aguaruna (Awajun),Jíbaro,No Existe,Marañón
-78.26406,-4.59139,Bashuim Chinim,Principal,Aguaruna (Awajun),Jíbaro,No Existe,Marañón
-78.19533,-4.57821,Nuevo Tutino,Principal,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.18901,-4.57249,Tuutin,Principal,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.24531,-4.55782,Bashuin,Principal,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.31212,-4.56308,Tsawantus,Anexo,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.27861,-4.54448,Paantan Entsa,Principal,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.17937,-4.53884,Pagki,Principal,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.17429,-4.52441,Nuevo Kanam,Anexo,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.16882,-4.51279,Sua San Antonio,Anexo,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.15338,-4.49437,Sua San Antonio,Principal,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.15693,-4.47227,Aintam,Anexo,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.15774,-4.45509,Huampami,Principal,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.19552,-4.45901,Canga,Principal,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.19504,-4.45245,Nanchik Entsa,Principal,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.24902,-4.4322,Kusu Kubaim,Principal,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.27177,-4.41263,Pagata,Anexo,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
-78.14847,-4.4205,Achu,Principal,Aguaruna (Awajun),Jíbaro,ODECOFROC,Marañón
