lon,lat,NOM_COMP,TIPO_COMP,estado_dr,unidad,administrado,subsector,area_m2
-77.03098,-9.55914,Depósito de relaves Antamina (preliminar - referencia),Depósito,Operación,Antamina,COMPANIA MINERA ANTAMINA S.A,Minería,6468163.35980479
-70.6785,-15.35062,Depósito de relaves Pomasi,Depósito,Operación,Pomasi,CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.,Minería,10199.82603377
-76.13071,-11.65624,Depósito de relaves Toromocho (preliminar - referencia),Depósito,Operación,Toromocho,MINERA CHINALCO PERÚ S.A.,Minería,4192563.44702017
-76.13471,-11.60034,Depósito de relaves Toromocho (preliminar - referencia),Depósito,Operación,Toromocho,MINERA CHINALCO PERÚ S.A.,Minería,403472.69735501
-70.70927,-17.20532,Depósito de relaves Quellaveco (preliminar - referencia),Depósito,Operación,Quellaveco,ANGLO AMERICAN QUELLAVECO S.A.,Minería,4584.91124906
-70.69004,-17.19626,Depósito de relaves Quellaveco (preliminar - referencia),Depósito,Operación,Quellaveco,ANGLO AMERICAN QUELLAVECO S.A.,Minería,2478966.51805966
-71.79654,-14.50265,Depósito de relaves TMF,Depósito,Operación,Constancia,HUDBAY PERU S.A.C.,,3214881.43720228
-70.60022,-15.44707,Depósito de relaves Huaybillo,Depósito,Operación,El Cofre,CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.,,132158.54557708
-76.213,-10.62101,Depósito de relaves El porvenir,Depósito,Operación,El Porvenir,NEXA RESOURCES EL PORVENIR S.A.C.,,683689.32287111
-75.20456,-15.26597,Depósito de relaves Pampa Choclon I,Depósito,Operación,Marcona,MINERA SHOUXIN PERU S.A.,,324463.62669314
-75.8403,-11.40281,Depósito de relaves,Depósito,Operación,Fortunita,CIA MINERA LAS CAMELIAS S A,,42218.21244087
-74.46653,-15.09068,Depósito de relaves N°3,Depósito,Operación,Planta de Beneficio Hacienda Metalex,MINERA VETA DORADA S.A.C.,,47667.350037
-74.46606,-15.09231,Depósito de relaves N°2,Depósito,Operación,Planta de Beneficio Hacienda Metalex,MINERA VETA DORADA S.A.C.,,25291.94795217
-74.46501,-15.09279,Depósito de relaves N°1,Depósito,Operación,Planta de Beneficio Hacienda Metalex,MINERA VETA DORADA S.A.C.,,15026.88556378
-75.47346,-12.6204,Depósito de relaves,Depósito,Operación,Heraldos Negros,COMPANIA MINERA SAN VALENTIN S.A.,,105307.15794186
-73.24015,-14.93554,Depósito de relaves Inmaculada,Depósito,Operación,Inmaculada,COMPANIA MINERA ARES S.A.C.,,376539.21946147
-76.72874,-10.78856,Depósito de relaves Tinyag Inferior,Depósito,Operación,Iscaycruz,EMPRESA MINERA LOS QUENUALES S.A.C.,,125449.85359378
-76.73127,-10.78383,Depósito de relaves 2,Depósito,Operación,Iscaycruz,EMPRESA MINERA LOS QUENUALES S.A.C.,,46121.85320178
-76.72026,-10.79006,Depósito de relaves Geniococha,Depósito,Operación,Iscaycruz,EMPRESA MINERA LOS QUENUALES S.A.C.,,244458.88895767
