lon,lat,nombre,categoria,pueblo,estado
-72.44918,-11.6088,"Kugapakori, Nahua, Nanti y otros",Reserva Territorial,"Machiguenga (Matsigenka y/o Nanti) en situación de aislamiento y contacto inicial , Yora en situación de contacto inicial",RT_Reconocida
-75.30531,-2.09449,Napo - Tigre,Solicitud de Reserva Indígena,"Pueblos indígenas en situación de aislamiento voluntario, probablemente emparentados con los pueblos Arabela, Iquito, Taushiro, Zápara y Waorani, así como también descendientes de los Abijira.",Reserva Territorial Solicitada
-75.77159,-8.81273,Cacataibo - Zona Norte,Solicitud de Reserva Indígena,Cacataibo en situación de aislamiento,Reserva Territorial Solicitada
-75.5723,-8.44234,Cacataibo - Zona Norte,Solicitud de Reserva Indígena,Cacataibo en situación de aislamiento,Reserva Territorial Solicitada
-72.07259,-4.69266,Yavarí - Mirim,Solicitud de Reserva Indígena,"Pueblos indígenas en situación de aislamiento, pertenecientes a los Pueblos Indígenas Marubo, Matis, Matsés, Korubo y Mayoruna, de la familia lingüística Pano.",Reserva Territorial Solicitada
-74.52216,-7.55798,Sierra del Divisor Occidental,Solicitud de Reserva Indígena,"Uno o mas pueblos indígenas en situación de aislamiento, no identificados.",Reserva Territorial Solicitada
-73.59257,-6.68112,Yavarí - Tapiche,Solicitud de Reserva Indígena,"Uno o más pueblos indígenas en situación de aislamiento, probablemente miembros de los Pueblos Indígenas Matsé (Mayuruna), Isconahua o Iscobaquebu (Remo), Korubo y Matis.",Reserva Territorial Solicitada
-73.89718,-7.738,Isconahua,Reserva Indígena,Pueblo indígena en situación de aislamiento Isconahua,RI_Reconocida
-71.70033,-10.56452,Mashco Piro,Reserva Indígena,"Pueblos indígenas en situación de aislamiento Mashco Piro, Mastanahua y  otros no identificados",RI_Reconocida
-72.53078,-10.05207,Murunahua,Reserva Indígena,"Pueblos indígenas en situación de aislamiento Murunahua, Chitonahua, Mashco Piro y Pueblos indígenas en contacto inicial Amahuaca",RI_Reconocida
-70.80704,-11.89556,Madre de Dios,Reserva Territorial,Mashco Piro en situación de aislamiento.,RT_Reconocida
-75.62074,-9.46335,Cacataibo - Zona Sur,Solicitud de Reserva Indígena,Cacataibo en situación de aislamiento,Reserva Territorial Solicitada
