lon,lat,administrado,unidad,subsector,riesgo,peligro,vulnerabilidad,pasivo_minero,pasivo_hidrocarburo,conflicto_socioamb
-77.85319,-8.81037,ENGIE ENERGIA PERU S.A.,C.H. Quitaracsa I,Electricidad,Alto,Alto,Alto,0,Sin pasivo,Sin conflicto
-78.11692,-6.80651,CONCESIONARIA LINEA DE TRANSMISION CCNCM S.A.C.,L.T. 220 kV Carhuaquero - Cajamarca Norte - Caclic - Moyobamba,Electricidad,Alto,Moderado,Muy alto,0,Sin pasivo,Sin conflicto
-72.86912,-13.66607,CONSORCIO TRANSMANTARO S.A.,L.T. 220 kV S.E. Machupicchu - S.E. Abancay - S.E. Cotaruse,Electricidad,Alto,Alto,Muy alto,0,Sin pasivo,Sin conflicto
-75.72832,-11.9366,RED DE ENERGIA DEL PERU SA,L.T. 220 kV C.H. Mantaro - S.E. Pachachaca - S.E. Callahuanca,Electricidad,Alto,Alto,Muy alto,0,Sin pasivo,Sin conflicto
-73.02896,-14.61449,CONSORCIO TRANSMANTARO S.A.,L.T. 220 kV S.E. Mantaro - S.E. Socabaya,Electricidad,Alto,Moderado,Muy alto,0,Sin pasivo,Sin conflicto
-80.9302,-4.19599,RED DE ENERGIA DEL PERU SA,L.T. 220 kV S.E. Talara - S.E. Zorritos,Electricidad,Alto,Moderado,Alto,0,Medio,Sin conflicto
-70.02001,-15.1452,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD DE PUNO SOCIEDAD ANONIMA ABIERTA,"Z.C. Puno (S.E.T. Bellavista (Puno), S.E.T. Pomata, S.E.T. Ilave, S.E.T. Antauta, S.E.T. Ananea, S.E.T. Huancané y Almacenes)",Electricidad,Alto,Moderado,Muy alto,11-más,Medio,Sin conflicto
-70.2963,-18.07612,EMP.REG.SERV.PUB.ELECT.ELECTROSUR S.A.,Z.C. Tacna,Electricidad,Alto,Moderado,Muy alto,11-más,Sin pasivo,Sin conflicto
-80.62785,-5.18663,ELECTRONOROESTE S.A,U.N. Piura,Electricidad,Alto,Moderado,Muy alto,0,Alto,Sin conflicto
-76.1293,-13.79489,ELECTRO DUNAS S.A.A.,Zona de Concesión Ica,Electricidad,Alto,Moderado,Muy alto,11-más,Medio,Sin conflicto
-70.86282,-17.12649,EMP.REG.SERV.PUB.ELECT.ELECTROSUR S.A.,Z.C. Moquegua,Electricidad,Alto,Moderado,Muy alto,11-más,Sin pasivo,Sin conflicto
-76.24507,-12.94896,LUZ DEL SUR S.A.A.,Z.C. Cañete,Electricidad,Alto,Moderado,Muy alto,0,Sin pasivo,Sin conflicto
-79.83614,-6.02203,EMP REG DE SERV PUB DE ELECT DL NORTE SA,U.N. Chiclayo,Electricidad,Alto,Moderado,Muy alto,0,Sin pasivo,Sin conflicto
-77.18276,-11.48095,PLUZ ENERGÍA PERÚ S.A.A.,"Centros de servicio: Huacho, Huaral y Supe",Electricidad,Alto,Alto,Alto,1-5,Sin pasivo,Sin conflicto
-80.34928,-3.4759,ELECTRONOROESTE S.A,U.N. Tumbes,Electricidad,Alto,Alto,Muy alto,0,Medio,Sin conflicto
-75.33126,-11.99036,ELECTROCENTRO S.A.,U.N. Valle Del Mantaro,Electricidad,Alto,Moderado,Muy alto,1-5,Sin pasivo,Sin conflicto
-76.81412,-12.27135,LUZ DEL SUR S.A.A.,Z.C. Lima - Sur,Electricidad,Alto,Moderado,Muy alto,11-más,Alto,Sin conflicto
