lon,lat,locacion,yacimiento,administrado,etapa,estatus,area_m2,evaluaciones,puntos_exceden,anio_supervision,estado_locacion,departamento,provincia,distrito
-81.17952,-4.39944,EX-BAT-999,Zapotal,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.12475,-4.28192,EX-BAT-999,Zapotal,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,No supervisado,PIURA,TALARA,EL ALTO
-81.24128,-4.28918,EA1827,Peña Negra,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa II - HAZCO,Sin afectación,0.0,Unica evaluacion,,2024.0,Supervisado,PIURA,TALARA,EL ALTO
-81.17903,-4.38449,AA6847,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,2da Evaluacion,,2023.0,Supervisado,PIURA,TALARA,LOBITOS
-81.17767,-4.38553,AA6674,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,1ra Evaluacion,,2023.0,Supervisado,PIURA,TALARA,LOBITOS
-81.18373,-4.3891,AA9992,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,1ra Evaluacion,,2023.0,Supervisado,PIURA,TALARA,LOBITOS
-81.17975,-4.38662,AA6681,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,En ejecución,0.0,2da Evaluacion,,,Planificado,PIURA,TALARA,LOBITOS
-81.1779,-4.38821,AA6402,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,,,,No supervisado,PIURA,TALARA,LOBITOS
-81.17935,-4.39482,AA9418,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.18095,-4.39213,AA9988,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
-81.17977,-4.39286,AA2019,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.18135,-4.3923,QDA-BAT-603A,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.18528,-4.3859,AA9397,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.1741,-4.38464,AA6673,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.18513,-4.3791,PQA-AA1853,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.17538,-4.38947,AA112,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.17596,-4.3872,AA6544,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,En ejecución,0.0,3ra Evaluacion,,,Planificado,PIURA,TALARA,LOBITOS
-81.17847,-4.39607,AA9982,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,1ra Evaluacion,,2023.0,Supervisado,PIURA,TALARA,LOBITOS
-81.26051,-4.30935,EA3,Reventones,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Con afectación,0.0,1ra Evaluacion,1,2025.0,Supervisado,PIURA,TALARA,LOBITOS
-81.25963,-4.30901,EA7304D,Reventones,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,1ra Evaluacion,,2025.0,Supervisado,PIURA,TALARA,LOBITOS
-81.18395,-4.3858,AA101,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,2da Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.1793,-4.38975,AA9991,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Con afectación,213.99,2da Evaluacion,1,2023.0,Supervisado,PIURA,TALARA,LOBITOS
-81.18007,-4.39458,AA25,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.18337,-4.3834,AA6401,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,Sin afectación,0.0,3ra Evaluacion,,2022.0,Supervisado,PIURA,TALARA,LOBITOS
-81.18239,-4.39053,AA9989,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
-81.18596,-4.39082,AA90,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,Observado,PIURA,TALARA,LOBITOS
-81.16934,-4.38526,AA6377,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,1ra Evaluacion,,,No supervisado,PIURA,TALARA,LOBITOS
-81.16966,-4.37925,AA7883,Carrizo,CNPC - Corporación Nacional de Petróleos de China S.A.,Etapa I - COSAPI,No supervisada,0.0,,,,No supervisado,PIURA,TALARA,LOBITOS
