lon,lat,nombre,titular,sustancia,situacion,tipo,region
-76.2203,-10.58059,ATACOCHA,COMPAÑIA MINERA ATACOCHA S.A.A.,Metálica,EXPLOTACIÓN,En producción,
-78.05918,-7.96494,LA VIRGEN,COMPAÑIA MINERA SAN SIMON S.A.,Metálica,EXPLOTACIÓN,En producción,
-76.24919,-10.81105,COLQUIJIRCA N°1,SOCIEDAD MINERA EL BROCAL S.A.A.,Metálica,EXPLOTACIÓN,En producción,
-74.98202,-13.07863,HUACHOCOLPA UNO,COMPAÑIA MINERA KOLPA S.A.,Metálica,EXPLOTACIÓN,En producción,
-76.45514,-11.20861,ALPAMARCA,COMPAÑIA MINERA CHUNGAR S.A.C.,Metálica,EXPLOTACIÓN,En producción,
-76.30422,-11.80485,MINA CORICANCHA,GREAT PANTHER CORICANCHA S.A.,Metálica,EXPLOTACIÓN,En producción,
-78.32347,-8.0137,QUIRUVILCA,COMPAÑIA MINERA QUIRUVILCA S.A.,Metálica,EXPLOTACIÓN,En producción,
-70.72698,-15.63107,TACAZA,CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.,Metálica,EXPLOTACIÓN,En producción,
-75.10916,-15.24451,CPS 1,SHOUGANG HIERRO PERU S.A.A.,Metálica,EXPLOTACIÓN,En producción,
-76.13526,-11.58318,ANTICONA,COMPAÑIA MINERA ARGENTUM S.A.,Metálica,EXPLOTACIÓN,En producción,
-76.6757,-10.61662,UCHUCCHACUA,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,Metálica,EXPLOTACIÓN,En producción,
-74.41339,-12.56569,COBRIZA 1126,DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA,Metálica,EXPLOTACIÓN,En producción,
-76.18664,-11.5692,TICLIO,VOLCAN COMPAÑÍA MINERA S.A.A.,Metálica,EXPLOTACIÓN,En producción,
-71.57133,-16.52818,"CERRO VERDE 1,2,3",SOCIEDAD MINERA CERRO VERDE S.A.A.,Metálica,EXPLOTACIÓN,En producción,
-77.48027,-7.97857,AVENTURA IV,CONSORCIO MINERO HORIZONTE S.A.,Metálica,EXPLOTACIÓN,En producción,
-71.37516,-14.95216,ANTAPACCAY 1,COMPAÑIA MINERA ANTAPACCAY S.A.,Metálica,EXPLOTACIÓN,En producción,
-77.54612,-9.76925,HUANCAPETI,COMPAÑIA MINERA LINCUNA S.A,Metálica,EXPLOTACIÓN,En producción,
-71.93411,-15.47011,TAMBOMAYO,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,Metálica,EXPLOTACIÓN,En producción,
-77.06933,-9.49273,CONTONGA,CONTONGA PERU S.A.C.,Metálica,EXPLOTACIÓN,En producción,
-76.35234,-10.73978,Colquijirca N° 2,SOCIEDAD MINERA EL BROCAL S.A.A.,Metálica,EXPLOTACIÓN,En producción,
